,days,ts_code,e_days,percent,cnt_points
0,10,000032.SZ,19,88.88888888888889,9
﻿0,10,000032.SZ,20,88.88888888888889,9
﻿0,10,000338.SZ,17,84.61538461538461,13
﻿0,10,000910.SZ,18,90.0,10
﻿0,10,002123.SZ,13,81.81818181818183,11
﻿0,10,002123.SZ,17,81.81818181818183,11
﻿0,10,002123.SZ,18,81.81818181818183,11
﻿0,10,002123.SZ,19,81.81818181818183,11
﻿0,10,002123.SZ,20,90.9090909090909,11
﻿0,10,002138.SZ,10,81.81818181818183,11
﻿0,10,002138.SZ,11,81.81818181818183,11
﻿0,10,002138.SZ,12,90.9090909090909,11
﻿0,10,002138.SZ,19,81.81818181818183,11
﻿0,10,002138.SZ,20,81.81818181818183,11
﻿0,10,002205.SZ,18,81.25,16
﻿0,10,002241.SZ,15,84.61538461538461,13
﻿0,10,002241.SZ,17,84.61538461538461,13
﻿0,10,002384.SZ,8,83.33333333333334,12
﻿0,10,002384.SZ,9,83.33333333333334,12
﻿0,10,002384.SZ,16,83.33333333333334,12
﻿0,10,002384.SZ,19,83.33333333333334,12
﻿0,10,002475.SZ,8,90.9090909090909,11
﻿0,10,002475.SZ,9,81.81818181818183,11
﻿0,10,002475.SZ,11,81.81818181818183,11
﻿0,10,002475.SZ,12,81.81818181818183,11
﻿0,10,002530.SZ,9,85.71428571428571,7
﻿0,10,002530.SZ,10,85.71428571428571,7
﻿0,10,002636.SZ,18,83.33333333333334,12
﻿0,10,002918.SZ,17,81.81818181818183,11
﻿0,10,002938.SZ,7,85.71428571428571,14
﻿0,10,002938.SZ,8,92.85714285714286,14
﻿0,10,002938.SZ,9,92.85714285714286,14
﻿0,10,002938.SZ,10,85.71428571428571,14
﻿0,10,002938.SZ,13,85.71428571428571,14
﻿0,10,002938.SZ,17,85.71428571428571,14
﻿0,10,002938.SZ,18,85.71428571428571,14
﻿0,10,002938.SZ,19,85.71428571428571,14
﻿0,10,002938.SZ,20,92.85714285714286,14
﻿0,10,300014.SZ,19,84.61538461538461,13
﻿0,10,300014.SZ,20,84.61538461538461,13
﻿0,10,300053.SZ,14,93.75,16
﻿0,10,300053.SZ,15,81.25,16
﻿0,10,300053.SZ,17,81.25,16
﻿0,10,300113.SZ,8,90.0,10
﻿0,10,300113.SZ,11,100.0,10
﻿0,10,300113.SZ,12,100.0,10
﻿0,10,300113.SZ,13,90.0,10
﻿0,10,300113.SZ,15,90.0,10
﻿0,10,300209.SZ,15,86.66666666666667,15
﻿0,10,300552.SZ,7,81.81818181818183,11
﻿0,10,300552.SZ,8,81.81818181818183,11
﻿0,10,300552.SZ,9,90.9090909090909,11
﻿0,10,300552.SZ,10,90.9090909090909,11
﻿0,10,300552.SZ,11,100.0,11
﻿0,10,300552.SZ,12,90.9090909090909,11
﻿0,10,300552.SZ,13,90.9090909090909,11
﻿0,10,300552.SZ,14,90.9090909090909,11
﻿0,10,300552.SZ,15,81.81818181818183,11
﻿0,10,300552.SZ,16,90.9090909090909,11
﻿0,10,300552.SZ,17,90.9090909090909,11
﻿0,10,300552.SZ,18,90.9090909090909,11
﻿0,10,300552.SZ,19,90.9090909090909,11
﻿0,10,300552.SZ,20,100.0,11
﻿0,10,300570.SZ,17,81.25,16
﻿0,10,300579.SZ,19,83.33333333333334,12
﻿0,10,300585.SZ,7,90.0,10
﻿0,10,300598.SZ,9,88.88888888888889,9
﻿0,10,300598.SZ,10,88.88888888888889,9
﻿0,10,300598.SZ,11,88.88888888888889,9
﻿0,10,300598.SZ,12,88.88888888888889,9
﻿0,10,300598.SZ,13,88.88888888888889,9
﻿0,10,300598.SZ,14,88.88888888888889,9
﻿0,10,300598.SZ,16,88.88888888888889,9
﻿0,10,300598.SZ,17,88.88888888888889,9
﻿0,10,300598.SZ,18,88.88888888888889,9
﻿0,10,300598.SZ,19,100.0,9
﻿0,10,300598.SZ,20,88.88888888888889,9
﻿0,10,300655.SZ,18,86.66666666666667,15
﻿0,10,300661.SZ,5,88.88888888888889,9
﻿0,10,300661.SZ,12,88.88888888888889,9
﻿0,10,300661.SZ,13,88.88888888888889,9
﻿0,10,300661.SZ,14,88.88888888888889,9
﻿0,10,600004.SH,19,90.0,10
﻿0,10,600004.SH,20,90.0,10
﻿0,10,600179.SH,14,85.71428571428571,7
﻿0,10,600179.SH,15,85.71428571428571,7
﻿0,10,600179.SH,16,85.71428571428571,7
﻿0,10,600179.SH,17,85.71428571428571,7
﻿0,10,600179.SH,19,85.71428571428571,7
﻿0,10,600179.SH,20,85.71428571428571,7
﻿0,10,600198.SH,17,88.88888888888889,9
﻿0,10,600267.SH,16,88.88888888888889,9
﻿0,10,600267.SH,18,88.88888888888889,9
﻿0,10,600267.SH,19,88.88888888888889,9
﻿0,10,600267.SH,20,88.88888888888889,9
﻿0,10,600592.SH,9,87.5,8
﻿0,10,600592.SH,19,87.5,8
﻿0,10,600592.SH,20,87.5,8
﻿0,10,600640.SH,10,81.81818181818183,11
﻿0,10,600745.SH,19,93.33333333333333,15
﻿0,10,600745.SH,20,86.66666666666667,15
﻿0,10,600763.SH,18,81.25,16
﻿0,10,600763.SH,19,81.25,16
﻿0,10,600844.SH,12,84.61538461538461,13
﻿0,10,600844.SH,15,92.3076923076923,13
﻿0,10,600844.SH,16,84.61538461538461,13
﻿0,10,600844.SH,17,84.61538461538461,13
﻿0,10,600844.SH,19,84.61538461538461,13
﻿0,10,600872.SH,19,81.81818181818183,11
﻿0,10,601872.SH,18,81.25,16
﻿0,10,601872.SH,19,87.5,16
﻿0,10,601872.SH,20,93.75,16
﻿0,10,603186.SH,16,85.71428571428571,14
﻿0,10,603186.SH,17,85.71428571428571,14
﻿0,10,603186.SH,18,85.71428571428571,14
﻿0,10,603345.SH,16,81.25,16
﻿0,10,603602.SH,6,81.81818181818183,11
﻿0,10,603602.SH,7,81.81818181818183,11
﻿0,10,603602.SH,8,81.81818181818183,11
﻿0,10,603602.SH,11,81.81818181818183,11
﻿0,10,603602.SH,12,81.81818181818183,11
﻿0,10,603602.SH,13,81.81818181818183,11
﻿0,10,603602.SH,14,90.9090909090909,11
﻿0,10,603602.SH,15,100.0,11
﻿0,10,603602.SH,16,90.9090909090909,11
﻿0,10,603602.SH,17,90.9090909090909,11
﻿0,10,603602.SH,18,90.9090909090909,11
﻿0,10,603602.SH,19,90.9090909090909,11
﻿0,10,603602.SH,20,90.9090909090909,11
﻿0,10,603605.SH,7,81.81818181818183,11
﻿0,10,603787.SH,13,86.66666666666667,15
