stock,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
000001.SZ,0,0,1,0,1,0,5,15,39,54,42,36,26,10,7,7,1,0,0,0,1
000002.SZ,0,0,1,0,2,4,14,16,32,44,29,44,17,16,8,6,2,0,3,1,2
000004.SZ,2,0,2,0,1,19,21,17,22,32,29,32,33,21,7,15,1,0,0,0,3
000005.SZ,0,0,0,0,0,8,5,17,21,51,46,72,19,13,5,4,0,0,0,0,0
000006.SZ,3,0,2,2,3,2,8,17,19,46,38,41,28,17,5,6,2,0,0,0,8
000007.SZ,0,0,0,1,0,12,4,8,21,46,32,52,18,18,13,3,2,0,0,0,0
000008.SZ,0,0,1,1,2,4,8,15,31,45,20,41,22,19,2,5,1,0,1,0,3
000009.SZ,1,0,0,4,4,8,6,26,36,36,19,42,22,16,14,6,5,2,1,2,3
000010.SZ,2,0,0,1,2,8,13,20,28,36,38,48,26,16,6,4,3,1,0,0,7
000011.SZ,4,0,0,2,4,4,11,11,30,40,29,44,34,14,10,3,0,2,1,1,4
000012.SZ,0,0,1,1,3,5,10,12,31,53,32,39,23,13,11,1,4,1,2,0,1
000014.SZ,5,1,1,3,5,7,9,19,28,30,27,35,35,14,13,6,3,0,0,1,14
000016.SZ,0,1,0,0,3,3,7,14,35,45,23,38,26,14,5,6,0,2,1,0,0
000017.SZ,1,2,3,2,3,7,8,20,38,29,24,46,23,19,8,4,0,0,0,0,17
000019.SZ,0,1,0,0,1,8,5,18,31,46,28,57,30,13,4,3,1,3,0,0,4
000020.SZ,2,0,3,1,5,4,9,12,27,35,27,54,38,9,13,1,2,0,0,0,6
000021.SZ,1,0,0,1,0,4,5,16,38,48,31,43,33,14,4,4,2,0,0,1,0
000023.SZ,3,2,0,2,4,5,10,16,26,45,27,38,29,11,14,2,2,1,1,0,7
000025.SZ,4,2,1,6,1,5,16,17,28,35,22,46,18,14,6,3,0,1,1,0,21
000026.SZ,1,0,0,2,1,4,6,14,33,53,35,52,15,17,8,0,1,1,0,0,7
000027.SZ,0,0,0,3,0,1,8,15,26,45,22,59,20,15,7,1,0,0,0,0,0
000028.SZ,0,0,0,0,4,3,6,10,24,51,47,52,26,11,5,2,2,1,1,0,0
000029.SZ,3,2,2,3,2,7,5,20,32,43,11,41,21,13,10,8,4,0,2,0,13
000030.SZ,1,0,0,0,3,6,6,16,25,47,24,51,29,9,7,3,1,1,0,0,1
000031.SZ,2,1,1,2,1,2,7,14,30,51,35,52,26,18,7,3,0,2,0,1,3
000032.SZ,1,1,1,3,3,10,17,19,24,42,19,30,23,18,7,8,3,4,0,0,12
000034.SZ,1,1,2,0,2,8,11,24,29,40,14,44,15,20,14,7,5,3,1,1,7
000035.SZ,0,0,2,4,5,9,9,16,28,49,19,37,26,19,12,5,4,1,2,1,4
000036.SZ,1,0,0,1,3,4,4,11,32,46,29,59,24,12,4,1,0,1,0,0,5
000037.SZ,4,1,0,0,6,6,12,23,28,41,29,37,32,10,6,3,1,1,0,1,16
000038.SZ,3,1,0,0,1,22,10,17,14,51,19,42,26,13,4,16,1,1,0,0,2
000039.SZ,0,0,0,0,3,0,6,7,25,54,50,51,23,8,3,1,0,0,0,0,0
000040.SZ,1,0,5,1,1,9,8,22,28,41,32,43,22,20,6,4,3,2,0,0,10
000042.SZ,3,1,1,2,2,5,14,25,23,34,20,42,25,16,10,2,3,1,1,0,11
000045.SZ,4,0,2,1,4,8,13,13,28,28,35,43,34,14,7,3,2,1,0,0,11
000046.SZ,3,2,0,1,1,2,7,15,43,47,1,42,30,19,8,2,2,1,0,0,3
000048.SZ,1,0,1,0,3,6,3,15,22,54,33,42,31,16,11,2,1,0,3,0,2
000049.SZ,2,1,1,4,4,13,11,25,30,33,19,35,23,17,11,10,6,2,2,1,6
000050.SZ,0,0,0,2,0,0,6,9,27,60,49,47,30,6,4,1,0,0,0,0,0
000055.SZ,0,2,0,0,4,3,8,14,27,48,43,51,33,4,6,2,0,1,0,0,7
000056.SZ,10,0,2,2,5,5,13,25,30,42,26,29,18,13,10,3,4,6,0,2,17
000058.SZ,3,0,2,2,7,7,14,10,34,33,13,42,30,18,9,1,5,2,1,0,9
000059.SZ,1,0,1,0,6,3,8,16,24,51,19,49,23,14,4,6,4,1,0,0,5
000060.SZ,0,1,0,1,2,2,5,14,16,44,38,50,26,12,8,0,1,0,0,0,0
000061.SZ,1,0,1,1,2,2,7,6,26,58,42,60,21,14,2,1,2,1,0,0,2
